length,digits,hyphens,brand_sim,suspicious_tld,keywords,domain,label
20,4,0,0.1333,0,0,c343c5.icefactory.cl,phishing
13,0,0,0.3636,0,0,provpn.online,legit
9,0,0,0.3636,0,0,wemail.no,legit
10,0,0,0.4615,0,0,ahbelo.com,legit
18,0,0,0.4348,0,0,livecasinomate.com,legit
13,0,0,0.4211,0,0,supershoot.eu,legit
14,0,0,0.375,0,0,spoilerplus.tv,legit
14,0,0,0.5,1,0,aviamoster.top,legit
26,0,1,0.3333,0,0,peduli-shopee.blogspot.com,phishing
13,0,0,0.3529,0,0,leukermeer.nl,legit
13,0,0,0.375,0,0,loveboobs.vip,legit
15,0,0,0.3,0,0,runfreefire.com,legit
14,0,0,0.3529,0,0,digitaling.com,legit
18,1,0,0.2609,0,0,rewards4racing.com,legit
11,0,0,0.2857,0,0,rummyho.net,legit
15,2,0,0.1429,0,0,dudung78.online,legit
10,0,0,0.2667,0,0,fluzic.com,legit
16,0,0,0.381,0,0,mehtabrother.com,legit
8,3,0,0.0,0,0,56b1.com,legit
8,0,0,0.2,0,0,ebajk.pl,legit
10,0,0,0.3636,1,0,bcgame.top,legit
20,0,0,0.4,0,0,wilsoncountynews.com,legit
16,0,0,0.4211,0,0,industrystock.tw,legit
18,3,0,0.3478,0,0,customer360psa.com,legit
19,0,0,0.4444,0,0,mail.eliasprobst.eu,phishing
13,0,0,0.1667,1,0,frembed.click,legit
16,0,0,0.3158,0,0,imagearchive.com,legit
11,0,0,0.4,0,0,dlenc.co.kr,legit
14,0,0,0.5,0,0,kinessoint.com,legit
12,0,0,0.4286,0,0,senkodns.net,legit
23,0,0,0.2857,0,0,stroudwebsitedesign.com,legit
12,0,0,0.4,0,0,link.gallery,legit
14,0,0,0.4211,0,0,manhwaread.org,legit
12,0,0,0.4,0,0,gzpurfox.com,legit
23,0,0,0.3846,0,0,saversgroupholdings.com,legit
19,0,0,0.3333,0,0,newfrontierdata.com,legit
11,0,0,0.3077,1,0,gojihub.xyz,legit
21,0,0,0.3704,0,0,catedraldevalencia.es,legit
36,2,4,0.2381,0,0,kapelnicza-ot-pokhmelya-samara-30.ru,legit
17,0,0,0.3333,0,0,powerplatform.com,legit
20,0,0,0.3636,0,0,supergiftoptions.com,legit
8,0,0,0.6,0,0,happy.nu,legit
9,0,0,0.3636,0,0,iaato.org,legit
17,1,0,0.3636,1,0,usa7evidences.top,legit
7,0,0,0.3077,0,0,shor.cc,legit
11,0,0,0.6154,0,0,postman.com,legit
20,4,0,0.1818,0,0,6957ed.icefactory.cl,phishing
20,0,0,0.4,0,0,rankfirsthosting.net,legit
9,0,0,0.3636,0,0,cvrapi.dk,legit
17,0,0,0.3,0,0,dhillshopping.com,phishing
12,1,0,0.375,0,0,1movies.life,legit
10,0,0,0.5333,0,0,savana.com,legit
28,0,2,0.303,0,0,protective-angel-reading.com,legit
17,2,2,0.2609,0,0,awsdns-eusc-10.nl,legit
14,0,0,0.375,0,0,moldemania.com,legit
8,0,0,0.4,0,0,jogh.org,legit
22,0,1,0.3704,0,0,costadelsol-hotels.net,legit
22,0,0,0.2857,0,0,duishalik.blogspot.com,phishing
20,3,0,0.1818,0,0,ec0b54.icefactory.cl,phishing
24,0,2,0.4762,0,0,en-liive-ledgr.pages.dev,phishing
11,0,0,0.3333,0,0,lourdes.edu,legit
12,0,1,0.3333,0,0,fumi-life.jp,legit
12,0,0,0.3529,0,0,ruayfinn.com,legit
13,3,1,0.375,0,0,522-hello.com,legit
12,0,0,0.3529,0,0,hyresult.com,legit
9,0,0,0.0,0,0,www.qr.fm,phishing
12,0,0,0.5333,0,0,aikostore.ru,legit
25,0,1,0.3704,0,0,charity-commission.gov.uk,legit
15,0,0,0.5714,0,0,posthaus.com.br,legit
10,0,0,0.375,0,0,fssteel.ru,legit
10,1,0,0.3636,0,0,rapid8.com,legit
15,0,0,0.3333,0,0,cdnhlscloud.com,legit
21,3,0,0.4,0,0,saranyaa666.github.io,phishing
12,0,0,0.4286,0,0,giganews.com,legit
14,0,0,0.5,0,0,smitsarnhem.nl,legit
12,5,0,0.4286,0,0,gol32191.com,legit
9,0,0,0.3333,0,0,qortex.ai,legit
8,0,0,0.4615,0,0,slot.day,legit
12,0,0,0.4444,0,0,corpinter.de,legit
14,3,0,0.4,1,0,casino017.buzz,legit
13,0,0,0.4,0,0,robiox.com.ps,phishing
13,0,0,0.2667,0,0,toyhabits.com,legit
10,0,0,0.3333,0,0,wooyun.org,legit
15,3,0,0.4,0,0,trueslot504.com,legit
17,0,0,0.0,0,0,www.lovevivah.com,phishing
12,3,0,0.1538,0,0,opqwi983.com,legit
14,0,0,0.4,0,0,curaprox.co.uk,legit
10,0,0,0.2667,0,0,pmhcjk.com,legit
11,1,0,0.1818,0,0,mjpku8.shop,legit
23,0,0,0.3571,0,0,suncoastcyclesports.com,legit
19,0,0,0.5,0,0,eyupsabrituncer.com,legit
25,0,0,0.4,0,0,solusibangunindonesia.com,legit
14,0,0,0.4,0,0,crazybless.com,legit
8,2,0,0.2222,0,0,ev28.com,legit
24,0,0,0.3846,0,0,mintratrainingportal.com,legit
16,0,0,0.381,0,0,kacamatahani.com,legit
13,6,0,0.1429,0,0,393bet777.com,legit
13,0,0,0.4444,0,0,sbotodoke.com,legit
35,4,0,0.3448,0,0,instagramfollowers7894.blogspot.com,phishing
9,0,0,0.2857,0,0,catfk.com,legit
36,0,3,0.3529,0,0,instagram-clone-liard-two.vercel.app,phishing
14,0,0,0.5263,0,0,aungwinter.com,legit
14,0,0,0.4,0,0,reptifiles.com,legit
11,0,0,0.4615,0,0,invoxia.com,legit
13,0,0,0.4,0,0,userpilot.com,legit
22,0,1,0.3333,0,0,des-lgerlive.pages.dev,phishing
9,0,0,0.4,0,0,stasto.eu,legit
12,0,0,0.3529,0,0,myshadow.org,legit
18,0,0,0.3,0,0,presidencia.gov.py,legit
11,0,0,0.3529,0,0,maritima.fr,legit
9,2,0,0.1818,0,0,bike24.pl,legit
21,0,0,0.3704,0,0,chateaudechantilly.fr,legit
17,0,0,0.3478,0,0,threebestrated.ca,legit
17,0,0,0.4211,0,0,badboybondage.com,legit
13,0,0,0.3333,0,0,eventlink.com,legit
9,0,0,0.3333,0,0,prawko.pl,legit
12,0,0,0.4,0,0,lenpravda.ru,legit
8,1,0,0.1818,0,0,1c.cloud,legit
18,0,0,0.4,0,0,vegasluckplanet.us,legit
12,0,0,0.3077,0,0,marmelab.com,legit
11,0,0,0.375,0,0,nofraud.com,legit
13,1,0,0.3333,0,0,mathbotv2.com,legit
11,0,0,0.375,0,0,idchess.com,legit
14,0,0,0.3158,0,0,tescocloud.com,legit
18,0,0,0.4348,0,0,postcardunited.com,legit
9,0,0,0.3636,0,0,ntjoy.com,legit
18,1,0,0.3333,1,0,5pornovideos.click,legit
16,1,0,0.3158,0,0,gcmoderation1.ru,legit
20,0,0,0.4348,0,0,dealeraccelerate.net,legit
16,0,1,0.3333,0,0,jetton-bonus.pro,legit
11,0,0,0.2667,0,0,mercimed.by,legit
16,0,0,0.5882,0,0,papersplease.org,legit
14,1,0,0.4211,0,0,j8xzsadada.org,legit
13,0,0,0.4211,0,0,ojazzdance.fr,legit
22,0,0,0.381,0,0,agenciaminas.mg.gov.br,legit
9,0,0,0.5,0,0,radist.me,legit
12,0,0,0.4286,0,0,nadialim.com,legit
10,3,0,0.3333,0,0,gwl567.com,legit
15,0,0,0.375,0,0,journalhome.com,legit
